Original Description,Original Statute,Corrected Statute,Charge Class,Other Class Possible,Standardized Description,Notes,Type
DRIVING DURING REVOCATION,625 ILCS 5/6-210(2),625 ILCS 5/6-303(a),MA,,DRIVING WITH A REVOKED OR SUSPENDED LICENSE,,
DRIVE ON SUSP OR REVOKED LIC,6303000,625 ILCS 5/6-303(a),MA,,DRIVING WITH A REVOKED OR SUSPENDED LICENSE,,
DRIVING ON SUSPENDED LICENSE,625 ILCS 5/6-303(a),625 ILCS 5/6-303(a),MA,,DRIVING WITH A REVOKED OR SUSPENDED LICENSE,,
DRIVING ON SUSPENDED OR REVOKED LICENSE OR PERMIT,625 ILCS 6/303,625 ILCS 5/6-303(a),MA,,DRIVING WITH A REVOKED OR SUSPENDED LICENSE,,
DRIVING ON SUSPENDED LICENSE,625 ILCS 5 6-303(a) [5880000],625 ILCS 5/6-303(a),MA,,DRIVING WITH A REVOKED OR SUSPENDED LICENSE,,
DRIVING W/SUSPENDED LICENSE,95.5-6-210,625 ILCS 5/6-303(a),MA,,DRIVING WITH A REVOKED OR SUSPENDED LICENSE,,
DRIVING W/SUSPENDED OR REVOKED LICENSE OR PERMIT,95.5-6-303,625 ILCS 5/6-303(a),MA,,DRIVING WITH A REVOKED OR SUSPENDED LICENSE,,
DRIVING ON SUSPENDED LICENSE,,625 ILCS 5/6-303(a),MA,,DRIVING WITH A REVOKED OR SUSPENDED LICENSE,,
DRIVING/NO LICENSE/PERMIT/AGE,625 ILCS 5/6-101,625 ILCS 5/6-101,MA,,DRIVING WITHOUT A LICENSE,,
FAIL OBTAIN LIC/AFTER REVOC,625 ILCS 5/6-101,625 ILCS 5/6-101,MA,,DRIVING WITHOUT A LICENSE,,
DRIVING/NO LIC/CANC,625 ILCS 5/6-101,625 ILCS 5/6-101,MA,,DRIVING WITHOUT A LICENSE,,
DL EXPIRED MORE THAN A YEAR,625 ILCS 5/6-101,625 ILCS 5/6-101,MA,,DRIVING WITHOUT A LICENSE,,
DRIVING/NEVER ISSUED LICENSE,625 ILCS 5/6-101,625 ILCS 5/6-101,MA,,DRIVING WITHOUT A LICENSE,,
UNLICENSED,625 ILCS 5/6-101,625 ILCS 5/6-101,MA,,DRIVING WITHOUT A LICENSE,,
DL EXPIRED 6 MONTHS OR LESS,625 ILCS 5/6-101,625 ILCS 5/6-101,MA,,DRIVING WITHOUT A LICENSE,,
DRUG PARAPHERNALIA SALE,720 ILCS 600/3(a),720 ILCS 600/3(a),F4,,DRUG PARAPHERNALIA RELATED OFFENSE,,
POSSESS DRUG PARAPHERNALIA,720 ILCS 600/3.5(a),720 ILCS 600/3.5(a),MA,,DRUG PARAPHERNALIA RELATED OFFENSE,,
DUI/3RD/BAC 0.16+,625 ILCS 5/11-501(a),625 ILCS 5/11-501(a),MA,,DUI,,
DUI/INTOXICATING COMPOUND,625 ILCS 5/11-501(a),625 ILCS 5/11-501(a),MA,,DUI,,
625-5/11-501-A,,625 ILCS 5/11-501(a),MA,,DUI,DUI,
DRVG UNDER INFLU/0.10 ALCOHOL,625 ILCS 5/11-501(a)(1),625 ILCS 5/11-501(a),MA,,DUI,,
DUI/BAC 0.08 W/CHILD PASS/2ND,625 ILCS 5/11-501(a)(1),625 ILCS 5/11-501(a),MA,,DUI,,
DRVG UNDER INFLU/BAC 0.08,625 ILCS 5/11-501(a)(1),625 ILCS 5/11-501(a),MA,,DUI,,
DRIVING UNDER INFLUENCE BAC 0.08,625 ILCS 5/11-501(a)(1),625 ILCS 5/11-501(a),MA,,DUI,,
DRVG UNDER INFLU OF ALCOHOL,625 ILCS 5 11-501(a)(2) [14722],625 ILCS 5/11-501(a),MA,,DUI,,
DRVG UNDER INFLU OF ALCOHOL,625 ILCS 5/11-501(a)(2),625 ILCS 5/11-501(a),MA,,DUI,,
DRVG UNDER INFLU ALCOHOL/2ND,625 ILCS 5/11-501(a)(2),625 ILCS 5/11-501(a),MA,,DUI,,
DUI ALCOHOL 2ND W/CHILD PASS,625 ILCS 5/11-501(a)(2),625 ILCS 5/11-501(a),MA,,DUI,,
DRIVING UNDER INFLU OF ALCOHOL,,625 ILCS 5/11-501(a),MA,,DUI,,
DUI,,625 ILCS 5/11-501(a),MA,,DUI,,
DRVG UNDER INFLUENCE OF DRUG,625 ILCS 5/11-501(a)(3),625 ILCS 5/11-501(a),MA,,DUI,,
DUI INTOXICATING COMPOUND,625 ILCS 5/11-501(a)(3),625 ILCS 5/11-501(a),MA,,DUI,,
DUI/INTOXICATING COMPOUND,625 ILCS 5/11-501(a)(3),625 ILCS 5/11-501(a),MA,,DUI,,
DRVG UNDER INFLUENCE OF DRUG,625 ILCS 5/11-501(a)(4),625 ILCS 5/11-501(a),MA,,DUI,,
DUI ALC/INTOX COMPOUND/DRUG,625 ILCS 5/11-501(a)(5),625 ILCS 5/11-501(a),MA,,DUI,,
ALC/INTOX COMPOUND/DRUG/2ND,625 ILCS 5/11-501(a)(5),625 ILCS 5/11-501(a),MA,,DUI,,
DUI ANY AMOUNT OF DRUG,625 ILCS 5/11-501(a)(6),625 ILCS 5/11-501(a),MA,,DUI,,
AGG DUI/5,625 ILCS 5/11-501(a),625 ILCS 5/11-501(d)(2D),F1,,DUI: AGGRAVATED,,
AGG DUI/3/BAC 0.16+,625 ILCS 5/11-501(a),625 ILCS 5/11-501(d)(2B),F2,,DUI: AGGRAVATED,,
DUI LIC SUSP OR REVOKED/THIRD,625 ILCS 5/11-501(c-1)(2),625 ILCS 5/11-501(d)(2B),F2,,DUI: AGGRAVATED,,
DRIVING RVK/SUSP DUI/SSS 10-14,625 ILCS 5 6-303(a) [14059],625 ILCS 5/11-501(d)(2B),F2,,DUI: AGGRAVATED,,
AGG DUI/3RD+ DUI,625 ILCS 5 11-501(a) [13672],625 ILCS 5/11-501(d)(2B),F2,,DUI: AGGRAVATED,,
DUI/3RD,625 ILCS 5/11-501(a),625 ILCS 5/11-501(d)(2B),F2,,DUI: AGGRAVATED,,
AGG DUI/3RD+ DUI,625 ILCS 5/11-501(a),625 ILCS 5/11-501(d)(2B),F2,,DUI: AGGRAVATED,,
AGG DUI/NO VALID INS,625 ILCS 5/11-501(a),625 ILCS 5/11-501(d)(2B),F2,,DUI: AGGRAVATED,,
AGG DUI/3+,625 ILCS 5/11-501(a),625 ILCS 5/11-501(d)(2B),F2,,DUI: AGGRAVATED,,
AGG DUI/3RD+,625 ILCS 5/11-501(a),625 ILCS 5/11-501(d)(2B),F2,,DUI: AGGRAVATED,,
AGG DUI/3RD/LIC SUSP OR REV,625 ILCS 5/11-501(a),625 ILCS 5/11-501(d)(2B),F2,,DUI: AGGRAVATED,,
AGG DUI/3,625 ILCS 5/11-501(a),625 ILCS 5/11-501(d)(2B),F2,,DUI: AGGRAVATED,,
DRVG U/INFLU/DRUG/3RD/SUBQ,625 ILCS 5/11-501(a)(5),625 ILCS 5/11-501(d)(2B),F2,,DUI: AGGRAVATED,,
AGG DUI/3/BAC 0.16+,,625 ILCS 5/11-501(d)(2B),F2,,DUI: AGGRAVATED,,
AGGRAVATED DUI/3RD+ DUI,625 ILCS 5/11-501(d)(1),625 ILCS 5/11-501(d)(2B),F2,,DUI: AGGRAVATED,,
AGGRAVATED DUI/3RD+ DUI,625 ILCS 5/11-501(d)(1)(A),625 ILCS 5/11-501(d)(2B),F2,,DUI: AGGRAVATED,,
AGGRAVATED DUI/3RD + DUI,625 ILCS 5/11-501(d)(1)(A),625 ILCS 5/11-501(d)(2B),F2,,DUI: AGGRAVATED,,
AGG DUI/3RD + DUI W/CHILD PASS,625 ILCS 5/11-501(d)(1)(A),625 ILCS 5/11-501(d)(2B),F2,,DUI: AGGRAVATED,,
DRVG REVOKED/2+/PERS INJ/DEATH,625 ILCS 5/6-303(a),625 ILCS 5/11-501(d)(2B),F2,,DUI: AGGRAVATED,,
AGG DUI/4,625 ILCS 5 11-501(a) [14702],625 ILCS 5/11-501(d)(2C),F2,,DUI: AGGRAVATED,,
DUI/4TH,625 ILCS 5/11-501(a),625 ILCS 5/11-501(d)(2C),F2,,DUI: AGGRAVATED,,
AGG DUI/4,625 ILCS 5/11-501(a),625 ILCS 5/11-501(d)(2C),F2,,DUI: AGGRAVATED,,
DRIVE REVOKED/RECK HOMIC/4+,625 ILCS 5/6-303(a),625 ILCS 5/11-501(d)(2C),F2,,DUI: AGGRAVATED,,
AGG DUI/2/PASS <16,625 ILCS 5/11-501(a),625 ILCS 5/11-501(d)(2J),F2,,DUI: AGGRAVATED,,
DRIVING RVK/SUSP DUI/SSS 4-9,625 ILCS 5 6-303(a) [14058],625 ILCS 5/11-501(d)(2A),F4,,DUI: AGGRAVATED,,
DUI LIC SUSP OR REVOKED,625 ILCS 5 11-501(a) [13665],625 ILCS 5/11-501(d)(2A),F4,,DUI: AGGRAVATED,,
AGG DUI/ACCIDENT/BODILY HARM,625 ILCS 5/11-501(a),625 ILCS 5/11-501(d)(2A),F4,,DUI: AGGRAVATED,,
AGG DUI LIC SUSP OR REVOKED,625 ILCS 5/11-501(a),625 ILCS 5/11-501(d)(2A),F4,,DUI: AGGRAVATED,,
AGG DUI/NO VALID DL,625 ILCS 5/11-501(a),625 ILCS 5/11-501(d)(2A),F4,,DUI: AGGRAVATED,,
DUI LIC SUSP OR REVOKED,625 ILCS 5/11-501(a),625 ILCS 5/11-501(d)(2A),F4,,DUI: AGGRAVATED,,
AGG DUI/ACCIDENT/DEATH,625 ILCS 5/11-501(a),625 ILCS 5/11-501(d)(2A),F4,,DUI: AGGRAVATED,,
DUI/BAC .16 OR CHILD PASS/1ST,625 ILCS 5/11-501(a),625 ILCS 5/11-501(d)(2A),F4,,DUI: AGGRAVATED,,
AGG DUI/LIC SUSP OR REVOKED,625 ILCS 5/11-501(a),625 ILCS 5/11-501(d)(2A),F4,,DUI: AGGRAVATED,,
AGG DUI/ NO VALID LICENSE,,625 ILCS 5/11-501(d)(2A),F4,,DUI: AGGRAVATED,,
AGG DRIVING LIC REV,,625 ILCS 5/11-501(d)(2A),F4,,DUI: AGGRAVATED,,
AGG DUI SCHOOL BUS DRVR/CHILD,625 ILCS 5/11-501(d)(1)(B),625 ILCS 5/11-501(d)(2A),F4,,DUI: AGGRAVATED,,
AGG DUI/DEATH OF 2+,625 ILCS 5/11-501(d)(1)(F),625 ILCS 5/11-501(d)(2A),F4,,DUI: AGGRAVATED,,
AGG DUI/DEATH OF ANOTHER,625 ILCS 5/11-501(d)(1)(F),625 ILCS 5/11-501(d)(2A),F4,,DUI: AGGRAVATED,,
AGGRAVATED DUI,625 ILCS 5 11-501(d)(1)(h),625 ILCS 5/11-501(d)(2A),F4,,DUI: AGGRAVATED,,
AGG DUI - SCHOOL BUS DRIVER,625 ILCS 5/11-501(d)(2),625 ILCS 5/11-501(d)(2A),F4,,DUI: AGGRAVATED,,
AGG DUI/RECKLESS HOMICIDE,625 ILCS 5/11-501(d)(4),625 ILCS 5/11-501(d)(2A),F4,,DUI: AGGRAVATED,,
DRVING ON REVOK OR SUSP DUI/SSS ALL,625 ILCS 5/6-303(a),625 ILCS 5/11-501(d)(2A),F4,,DUI: AGGRAVATED,,
DRIVING RVK/SUSP DUI/SSS 3RD,625 ILCS 5/6-303(a),625 ILCS 5/11-501(d)(2A),F4,,DUI: AGGRAVATED,,
DRVG RVK/SUSP/MDDP/NO DEVICE,625 ILCS 5/6-303(a),625 ILCS 5/11-501(d)(2A),F4,,DUI: AGGRAVATED,,
DRIVING ON REVOKED LICENSE,625 ILCS 5/6-303(a),625 ILCS 5/11-501(d)(2A),F4,,DUI: AGGRAVATED,,
DRVG ON SUSP LICENSE/FTA,625 ILCS 5/6-303(a),625 ILCS 5/11-501(d)(2A),F4,,DUI: AGGRAVATED,,
DRIVING RVK/SUSP DUI/SSS 2ND,625 ILCS 5/6-303(a),625 ILCS 5/11-501(d)(2A),F4,,DUI: AGGRAVATED,,
DRIVING RVK/SUSP DUI/SSS 15+,625 ILCS 5/6-303(a),625 ILCS 5/11-501(d)(2A),F4,,DUI: AGGRAVATED,,
DRIVING RVK/SUSP DUI/SSS 4-9,625 ILCS 5/6-303(a),625 ILCS 5/11-501(d)(2A),F4,,DUI: AGGRAVATED,,
DRIVE REVOKED/RECK HOMIC,625 ILCS 5/6-303(a),625 ILCS 5/11-501(d)(2A),F4,,DUI: AGGRAVATED,,
DRIVING RVK/SUSP DUI/SSS 10-14,625 ILCS 5/6-303(a),625 ILCS 5/11-501(d)(2A),F4,,DUI: AGGRAVATED,,
AGG DUI/5/BAC 0.16+,625 ILCS 5/11-501(a),625 ILCS 5/11-501(a),FX,,DUI: AGGRAVATED,,
AGG DUI/6+/BAC 0.16+,625 ILCS 5/11-501(a),625 ILCS 5/11-501(d)(2E),FX,,DUI: AGGRAVATED,,
AGG DUI/6+,625 ILCS 5/11-501(a),625 ILCS 5/11-501(d)(2E),FX,,DUI: AGGRAVATED,,
FELON ESCAPE/PEACE OFFICER,720 ILCS 5/31-6(c),720 ILCS 5/31-6(c-5),F2,,ESCAPE CUSTODY OF PEACE OFFICER,,
MISDEMEANOR ESCAPE PEACE OFF,720 ILCS 5/31-6(c-6),720 ILCS 5/31-6(c-6),MA,,ESCAPE CUSTODY OF PEACE OFFICER,,
ESCAPE,,720 ILCS 5/31-6,F1,"2, 3, A, B",ESCAPE FROM A PENAL INSTITUTION,Highly dependent upon conviction and circumstances,
ESC OF FELON FROM PENAL INST,720 ILCS 5/31-6(a),720 ILCS 5/31-6(a),F2,,ESCAPE FROM A PENAL INSTITUTION,,
ESCAPE FROM DEPT OF CORRECTION,730 ILCS 5/3-6-4(a),730 ILCS 5/3-6-4,F2,,ESCAPE FROM A PENAL INSTITUTION,,
SPEEDING 26-34 MPH OVER LIMIT,625 ILCS 5/11-601.5(a),625 ILCS 5/11-601.5(a),MB,,EXCESSIVE SPEEDING (26-35 MPH OVER SPEED LIMIT),,
SPEEDING 35+ MPH OVER LIMIT,625 ILCS 5/11-601.5(b),625 ILCS 5/11-601.5(b),MA,,EXCESSIVE SPEEDING (35+ MPH OVER SPEED LIMIT),,
FAIL GIVE INFO/RENDER AID/INJ,625 ILCS 5/11-403,625 ILCS 5/11-403,MA,,FAILING TO GIVE AID,,
CARRY/DISPLAY LICENSE/PERMIT,625 ILCS 5/6-112,625 ILCS 5/6-112,NONE,,FAILURE TO DISPLAY LICENSE OR PERMIT,,
FAILURE REPORT ACCIDENT/INJURY,625 ILCS 5/11-401(b),625 ILCS 5/11-401(b),F1,,FAILURE TO REPORT AN ACCIDENT,,
FAILURE REPORT ACCIDENT/DEATH,625 ILCS 5/11-401(b),625 ILCS 5/11-401(b)(death),F2,,FAILURE TO REPORT AN ACCIDENT,,
FAIL REPORT ACCIDENT/DEATH/INJ,625 ILCS 5/11-401(b),625 ILCS 5/11-401(b)(death),F2,,FAILURE TO REPORT AN ACCIDENT,,
POSS/DISPLAY/FRAUD/DL/INTENT,625 ILCS 5/6-301.2(b)(3),625 ILCS 5/6-301.2(b)(3),F4,,FAKE LICENSE,,
KNOW POSS FIC/ALT LIC/PERMIT,625 ILCS 5 6-301.1(b)(1) [5870100],625 ILCS 5/6-301.1(b)(1),MA,,FAKE LICENSE,,
FLS AD SYNTHETIC DRUG PRODUCT,410 ILCS 620/3.22(c),410 ILCS 620/3.22(c),MC,,FALSE ADVERTISING,,
FALSE COMPARTMENT/FIR/CON SUB,625 ILCS 5/12-612(a)(1),625 ILCS 5/12-612(a)(1),F4,,FALSE COMPARTMENT IN VEHICLE,,
FIN EXPLOIT ELDERLY/80+/$5K+,720 ILCS 5/17-56(a),720 ILCS 5/17-56(a),F1,,FINANCIAL EXPLOITATION OF AN ELDERLY / DISABLED PERSON,,
CONT FINANCIAL CRIMES ENTRPRS,720 ILCS 5/16H-50,720 ILCS 5/17-10.6(h),F1,,FINANCIAL INSTITUTION FRAUD,,
CONTINUING FIN CRIME ENTRPRS,720 ILCS 5/17-10.6(h),720 ILCS 5/17-10.6(h),F1,,FINANCIAL INSTITUTION FRAUD,,
CONSPIR FIN CRIME/$500-10K,720 ILCS 5/17-10.6(g)(1),720 ILCS 5/17-10.6(g)(1)(j1-C),F3,,FINANCIAL INSTITUTION FRAUD,,
FIN INSTITUTION FRAUD/PRECONV,720 ILCS 5/16H-25(1),720 ILCS 5/17-10.6(c)(1)(j1-B),F4,,FINANCIAL INSTITUTION FRAUD,,
FINANCIAL INST FRAUD/<=$300,720 ILCS 5/16H-25(1),720 ILCS 5/17-10.6(c)(1)(j1-A),MA,,FINANCIAL INSTITUTION FRAUD,,
FIN INST FRAUD/OBTAIN MONEY,720 ILCS 5/17-23(c)(1)(ii),720 ILCS 5/17-10.6(c)(1)(j1-A),MA,,FINANCIAL INSTITUTION FRAUD,720 ILCS 5/17-23 repealed,
MURDER,38-9,720 ILCS 5/9-1(a)(1),FM,,FIRST DEGREE MURDER,,
FIRST DEGREE MURDER,38-9-1,720 ILCS 5/9-1(a)(1),FM,,FIRST DEGREE MURDER,,
FIRST DEGREE MURDER:INTENDS DEATH/GREAT HARM,38-9-1(a)(1),720 ILCS 5/9-1(a)(1),FM,,FIRST DEGREE MURDER,,
MURDER,720 ILCS 5/9-1,720 ILCS 5/9-1(a)(1),FM,,FIRST DEGREE MURDER,,
MURDER/INTENT TO KILL/INJURE,720 ILCS 5 9-1(a)(1) [735000],720 ILCS 5/9-1(a)(1),FM,,FIRST DEGREE MURDER,,
MURDER/INTENT TO KILL/INJURE,720 ILCS 5/9-1(a)(1),720 ILCS 5/9-1(a)(1),FM,,FIRST DEGREE MURDER,,
FIRST DEGREE MURDER:INTENDS DEATH/GREAT HARM,720 ILCS 5/9-1(a)(1),720 ILCS 5/9-1(a)(1),FM,,FIRST DEGREE MURDER,,
MURDER/INTENT TO KILL/INJURE,,720 ILCS 5/9-1(a)(1),FM,,FIRST DEGREE MURDER,,
FIRST DEGREE MURDER,,720 ILCS 5/9-1(a)(1),FM,,FIRST DEGREE MURDER,,
MURDER FIRST DEGREE,,720 ILCS 5/9-1(a)(1),FM,,FIRST DEGREE MURDER,,
MURDER 1ST DEGREE,,720 ILCS 5/9-1(a)(1),FM,,FIRST DEGREE MURDER,,
FIRST DEGREE MURDER:PROBABLE DEATH/GREAT HARM,720 ILCS 5/9-1(a)(2),720 ILCS 5/9-1(a)(2),FM,,FIRST DEGREE MURDER,,
MURDER/STRONG PROB KILL/INJURE,720 ILCS 5/9-1(a)(2),720 ILCS 5/9-1(a)(2),FM,,FIRST DEGREE MURDER,,
FIRST DEGREE MURDER:OTHER FORCIBLE FELONY,720 ILCS 5/9-1(a)(3),720 ILCS 5/9-1(a)(3),FM,,FIRST DEGREE MURDER,,
MURDER/OTHER FORCIBLE FELONY,720 ILCS 5/9-1(a)(3),720 ILCS 5/9-1(a)(3),FM,,FIRST DEGREE MURDER,,
FLEEING/ATTEMPT ELUDE OFFICER,625 ILCS 5 11-204(a) [11403],625 ILCS 5/11-204,MA,,FLEEING A POLICE OFFICER,,
FLEEING/ATTEMPT ELUDE POLICE,625 ILCS 5/11-204(a),625 ILCS 5/11-204,MA,,FLEEING A POLICE OFFICER,,
FLEEING/ATTEMPT ELUDE OFFICER,625 ILCS 5/11-204(a),625 ILCS 5/11-204,MA,,FLEEING A POLICE OFFICER,,
AGG FLEEING POLICE/2ND,625 ILCS 5/11-204.1,625 ILCS 5/11-204.1(2nd),F3,,FLEEING A POLICE OFFICER: AGGRAVATED,,
AGG FLEEING/21 MPH OVER/2ND,625 ILCS 5/11-204.1(a)(1),625 ILCS 5/11-204.1(2nd),F3,,FLEEING A POLICE OFFICER: AGGRAVATED,,
AGG FLEEING/DMG >$300 PROP/2ND,625 ILCS 5/11-204.1(a)(3),625 ILCS 5/11-204.1(2nd),F3,,FLEEING A POLICE OFFICER: AGGRAVATED,,
AGG FLEEING/2+ CON DVC/2ND,625 ILCS 5 11-204.1(a)(4) [13455],625 ILCS 5/11-204.1(2nd),F3,,FLEEING A POLICE OFFICER: AGGRAVATED,,
AGG FLEEING/2+ CON DVC/2ND,625 ILCS 5/11-204.1(a)(4),625 ILCS 5/11-204.1(2nd),F3,,FLEEING A POLICE OFFICER: AGGRAVATED,,
AGG FLEEING POLICE/1ST,625 ILCS 5/11-204.1,625 ILCS 5/11-204.1(1st),F4,,FLEEING A POLICE OFFICER: AGGRAVATED,,
AGG FLEEING POLICE/21 MPH OVER,625 ILCS 5/11-204.1(a)(1),625 ILCS 5/11-204.1(1st),F4,,FLEEING A POLICE OFFICER: AGGRAVATED,,
AGG FLEEING/BODILY INJURY,625 ILCS 5/11-204.1(a)(2),625 ILCS 5/11-204.1(1st),F4,,FLEEING A POLICE OFFICER: AGGRAVATED,,
AGG FLEEING/DMG >$300 PROPERTY,625 ILCS 5/11-204.1(a)(3),625 ILCS 5/11-204.1(1st),F4,,FLEEING A POLICE OFFICER: AGGRAVATED,,
AGG FLEEING/2+ CON DEVICES,625 ILCS 5 11-204.1(a)(4) [13454],625 ILCS 5/11-204.1(1st),F4,,FLEEING A POLICE OFFICER: AGGRAVATED,,
AGG FLEEING/2+ CON DEVICES,625 ILCS 5/11-204.1(a)(4),625 ILCS 5/11-204.1(1st),F4,,FLEEING A POLICE OFFICER: AGGRAVATED,,
FLEEING/ATTEMPT ELUDE OFF 3+,625 ILCS 5/11-204(a),625 ILCS 5/11-204(3+),F4,,FLEEING A POLICE OFFICER: AGGRAVATED,,
FORGERY:ISSUE/DELIVER DOCUMENT,38-17-3(a)(2),720 ILCS 5/17-3,F3,,FORGERY,,
FORGERY,720 ILCS 5/17-3,720 ILCS 5/17-3,F3,,FORGERY,,
FORGERY/MAKE/ALTER DOCUMENT,720 ILCS 5/17-3(a)(1),720 ILCS 5/17-3,F3,,FORGERY,,
FORGERY/ISSUE/DELIVER DOCUMENT,720 ILCS 5/17-3(a)(2),720 ILCS 5/17-3,F3,,FORGERY,,
FORGERY/POSSESS WITH INTENT,720 ILCS 5/17-3(a)(3),720 ILCS 5/17-3,F3,,FORGERY,,
FORGERY/MAKE DOCUMENT/1 UPC,720 ILCS 5/17-3(a)(1),720 ILCS 5/17-3(1 UPC),F4,,FORGERY,,
FORGERY/ISSUE DOCUMENT/1 UPC,720 ILCS 5/17-3(a)(2),720 ILCS 5/17-3(1 UPC),F4,,FORGERY,,
FORGERY/POSSESS DOCUMENT/1 UPC,720 ILCS 5/17-3(a)(3),720 ILCS 5/17-3(1 UPC),F4,,FORGERY,,
FUGITIVE FROM JUSTICE,725 ILCS 225-13,725 ILCS 225/13,NONE,,FUGITIVE FROM JUSTICE,,
FUGITIVE FROM JUSTICE,60-30,725 ILCS 225/13,NONE,,FUGITIVE FROM JUSTICE,,
UNKNOWN,FUG WARR,725 ILCS 225/13,NONE,,FUGITIVE FROM JUSTICE,Fugitive / Warrant,
FUGITIVE FROM JUSTICE OUT OF STATE WARRANT,,725 ILCS 225/13,NONE,,FUGITIVE FROM JUSTICE,,
GANG RECRUITMENT/SCHOOL PROP,720 ILCS 5/12-6.4(a),720 ILCS 5/12-6.4(a),F1,,GANG RECRUITMENT,,
COMMUNICATE WITH JUROR,720 ILCS 5/32-4(a),720 ILCS 5/32-4,F4,,HARASS OR COMMUNICATE WITH A JUROR,,
COMMUNICATE/DETAIN WITNESS,720 ILCS 5/32-4(b),720 ILCS 5/32-4,F4,,HARASS OR COMMUNICATE WITH A JUROR,,
HARASS JUOR'S FAMILY MBR/REP,720 ILCS 5/32-4a(a)(1),720 ILCS 5/32-4,F4,,HARASS OR COMMUNICATE WITH A JUROR,,
HARASS JUROR/FAMILY MBR/REP,720 ILCS 5/32-4a(a)(1),720 ILCS 5/32-4,F4,,HARASS OR COMMUNICATE WITH A JUROR,,
HARASS WITNESS/FAMILY MBR/REP,720 ILCS 5/32-4a(a)(2),720 ILCS 5/32-4,F4,,HARASS OR COMMUNICATE WITH A JUROR,,
HARASS WITNESS,720 ILCS 5/32-4a(a)(2),720 ILCS 5/32-4,F4,,HARASS OR COMMUNICATE WITH A JUROR,,
HARASS WITNESS/FAMILY/REP,720 ILCS 5/32-4a(a)(2),720 ILCS 5/32-4,F4,,HARASS OR COMMUNICATE WITH A JUROR,,
HARASS/ELECTRONIC COMMUNICATION,,720 ILCS 5/26.5-3,MB,,HARASSMENT BY ELECTRONIC COMMUNICATION,,
ELEC HRSMT/OBSCENE PROPOSAL,720 ILCS 5/26.5-3(a)(1),720 ILCS 5/26.5-3,MB,,HARASSMENT BY ELECTRONIC COMMUNICATION,,
ELEC HRSMT/DISRUPT SERVICE,720 ILCS 5/26.5-3(a)(2),720 ILCS 5/26.5-3,MB,,HARASSMENT BY ELECTRONIC COMMUNICATION,,
ELEC HRSMT/DISRUPT SERV/2+,720 ILCS 5/26.5-3(a)(2),720 ILCS 5/26.5-3,MB,,HARASSMENT BY ELECTRONIC COMMUNICATION,,
HARBORING A RUNAWAY,720 ILCS 5/10-6(a),720 ILCS 5/10-6(a),MA,,HARBORING A RUNAWAY,,
HATE CRIME/PARK/COMMUNITY CNTR,720 ILCS 5/12-7.1(b-5)(4),720 ILCS 5/12-7.1(b-5),F3,,HATE CRIME,,
HATE CRIME,720 ILCS 5 12-7.1 [10002],720 ILCS 5/12-7.1(b),F4,,HATE CRIME,,
HATE CRIME,720 ILCS 5/12-7.1,720 ILCS 5/12-7.1(b),F4,,HATE CRIME,,
HATE CRIME,720 ILCS 5/12-7.1(a),720 ILCS 5/12-7.1(b),F4,,HATE CRIME,,
HOME INVASION,38-12-11,720 ILCS 5/12-11,FX,,HOME INVASION,,
HOME INVASION:CAUSE INJURY,38-12-11(a)(2),720 ILCS 5/12-11,FX,,HOME INVASION,,
HOME INVASION,,720 ILCS 5/12-11,FX,,HOME INVASION,,
HOME INVASION ARMED WITH FIREARM,720 ILCS 5/12-11(a)(,720 ILCS 5/12-11,FX,,HOME INVASION,,
HOME INVASION/ARMED/FORCE,720 ILCS 5/12-11(a)(1),720 ILCS 5/12-11,FX,,HOME INVASION,,
HOME INVASION/CAUSE INJURY,720 ILCS 5 12-11(a)(2) [995200],720 ILCS 5/12-11,FX,,HOME INVASION,,
HOME INVASION/CAUSE INJURY,720 ILCS 5/12-11(a)(2),720 ILCS 5/12-11,FX,,HOME INVASION,,
HOME INVASION:CAUSE INJURY,720 ILCS 5/12-11(a)(2),720 ILCS 5/12-11,FX,,HOME INVASION,,
HOME INVASION ARMED WITH FIREARM,720 ILCS 5/12-11(a)(3),720 ILCS 5/12-11,FX,,HOME INVASION,,
HOME INVASION/ARMED W/FIREARM,720 ILCS 5/12-11(a)(3),720 ILCS 5/12-11,FX,,HOME INVASION,,
HOME INVASION DISCHARGE OF FIREARM,720 ILCS 5/12-11(a)(4),720 ILCS 5/12-11,FX,,HOME INVASION,,
HOME INVASION/VIO AGAINST PERS,720 ILCS 5/12-11(a)(6),720 ILCS 5/12-11,FX,,HOME INVASION,,
HOME INVASION/DANGEROUS WEAPON,720 ILCS 5/19-6(a)(1),720 ILCS 5/19-6(a)(1),FX,,HOME INVASION,,
HOME INVASION/CAUSE INJURY,720 ILCS 5/19-6(a)(2),720 ILCS 5/19-6(a)(2),FX,,HOME INVASION,,
HOME INVASION/FIREARM,720 ILCS 5/19-6(a)(3),720 ILCS 5/19-6(a)(3),FX,,HOME INVASION,,
HOME INVASION/DISCH FIREARM,720 ILCS 5/19-6(a)(4),720 ILCS 5/19-6(a)(4),FX,,HOME INVASION,,
HOME INVASION/GREAT BOD HARM,720 ILCS 5/19-6(a)(5),720 ILCS 5/19-6(a)(5),FX,,HOME INVASION,,
HOME INVASION/SEX OFFENSE,720 ILCS 5/19-6(a)(6),720 ILCS 5/19-6(a)(6),FX,,HOME INVASION,,
